"Gene_name"	"GO_terms"
"vps35l"	", GO:0016020, GO:0016021"
"fcho1"	"GO:0072583, GO:0005886, GO:0005737, GO:0030136, GO:0015631, GO:0005543, GO:0008017, GO:0030122, GO:0048268, GO:0008092, GO:0005856, GO:0097320, GO:0005905"
"cemip2"	"GO:0016020, GO:0016021, GO:0004415, GO:0001947, GO:0003143, GO:0003190, GO:0003197, GO:0003318, GO:0016203, GO:0030214, GO:0055008, GO:0060415, GO:0060974, GO:1900748, GO:1901203, GO:1903670, GO:0005887"
"dus4l"	"GO:0050660, GO:0008033, GO:0055114, GO:0003824, GO:0017150, GO:0016491, GO:0002943"
"dcaf4"	"GO:0005515"
"zgrf1"	"GO:0008270, GO:0003723, "
"pdpk1"	"GO:0005524, GO:0004674, GO:0004672, GO:0006468, GO:0000166, GO:0035556, GO:0018105, GO:0005524, GO:0004674, GO:0004672, GO:0006468, GO:0035556, GO:0018105"
"cnfn.1"	""
"rmdn1"	"GO:0005515"
"uba1"	"GO:0006464, GO:0008641, GO:0005634, GO:0005737, GO:0006974, GO:0016567, GO:0032446, GO:0004839, GO:0007409"
"il18rap"	"GO:0007165, GO:0005515"
"fsd1"	"GO:0005622, GO:0005515"
"sspn"	"GO:0016010, GO:0005887, GO:0016021, GO:0016020"
"arl4a"	"GO:0005525, GO:0000166, GO:0005886, GO:0005737, GO:0006886, GO:0016192"
"il1r2"	"GO:0004908, GO:0004910, GO:0019221, GO:0004908, GO:0004910, GO:0016020, GO:0016021, GO:0019221"
"pusl1"	"GO:0009451, GO:0001522, GO:0009982, GO:0003723, GO:0008033, GO:0016853, GO:0031119, GO:0106029"
"trpc4"	"GO:0070588, GO:0005262, GO:0055085, GO:0005216, GO:0006811, GO:0016020, GO:0016021, GO:0005515, GO:0005887, GO:0015279, GO:0070679, GO:0006828, GO:0051480, GO:0034703"
"asph"	"GO:0016020, GO:0005515, GO:0018193, GO:0004597, GO:0042264, GO:0016021, GO:0055114"
"scin"	"GO:0051015, GO:0005509, GO:0051014, GO:0051015, GO:0005509, GO:0051014"
"bmp2"	"GO:0008083, GO:0005576, GO:0005615, GO:0043408, GO:0000122, GO:0010469, GO:0005125, GO:0005160, GO:0070700, GO:0010862, GO:0030509, GO:0042981, GO:0048468, GO:0060395"
"esr2"	"GO:0030284, GO:0005496, GO:0003707, GO:0043565, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0008270, GO:0030520, GO:0046872"
"larp7"	"GO:1990904, GO:0006396, GO:0005634, GO:0003723, GO:0003676"
"rgs20"	", "
"dpf3"	"GO:0003676, GO:0008270, GO:0071565, GO:0046872, GO:0005634, GO:0042393, GO:0007399, GO:0045944, GO:0045892, GO:0000790, GO:0004402, GO:0000123, GO:0006355, GO:0016573, GO:0048644, GO:0055008, GO:0008270, GO:0005634, GO:0042393, GO:0007399, GO:0045944, GO:0045892, GO:0000790, GO:0004402, GO:0000123, GO:0071565, GO:0016573"
"ints11"	"GO:0005634, GO:0016180"
"ctnnb1"	"GO:0045296, GO:0007155, GO:0005515, GO:0003713, GO:0045944, GO:0035257, GO:0005913, GO:0016342, GO:0019903, GO:0045294"
"b3gnt3"	"GO:0008378, GO:0006486, GO:0016020, GO:0016021, GO:0016740, GO:0016757, GO:0005794, GO:0005783, GO:0000139, GO:0008376, GO:0008532, GO:0030311, GO:0008378, GO:0006486, GO:0016020, GO:0016021, GO:0016740, GO:0016757, GO:0005794, GO:0005783, GO:0000139, GO:0008376, GO:0008532, GO:0030311"
"rflcii"	"GO:0005576, GO:0005179, GO:0010469, GO:0001664, GO:0005576, GO:0005179, GO:0010469"
"rsu1"	"GO:0005515"
"hao1"	"GO:0010181, GO:0016491, GO:0055114, GO:0003824, GO:0005777, GO:0001561, GO:0008891"
"jak3"	"GO:0005856, GO:0035556, GO:0005524, GO:0004672, GO:0006468, GO:0004713, GO:0016020, GO:0004715, GO:0016740, GO:0000166, GO:0016301, GO:0007260, GO:0016310, GO:0019221, GO:0030218"
"htra3"	"GO:0005520, GO:0005576, GO:0006508, GO:0004252, GO:0005515"
"trpm3"	"GO:0051262, GO:0006812, GO:0055085, GO:0034220, GO:0005216, GO:0006811, GO:0016020, GO:0016021, GO:0016048, GO:0050951, GO:0005227"
"uqcc1"	""
"stap2"	"GO:0035591, GO:0009967"
"brd7"	"GO:0005515, GO:0005515"
"adra1d"	"GO:0016021, GO:0007186, GO:0004930, GO:0004937, GO:0016020, GO:0005887, GO:0007165, GO:0007188, GO:0004935, GO:0071880"
"wwp1"	"GO:0006511, GO:0061630, GO:0004842, GO:0005515, GO:0016740, GO:0005737, GO:0016567, GO:0045732, GO:0000209, GO:0043161"
"chchd2"	"GO:0005634, GO:0005739, GO:0043565, GO:0045944, GO:0007005"
"tcea1"	"GO:0006351, GO:0006355, GO:0005634, GO:0003676, GO:0008270, GO:0046872, GO:0006351, GO:0006355, GO:0005634, GO:0003676, GO:0008270, GO:0046872, GO:0003746, GO:0006414"
"fam83c"	", , "
"mpnd"	"GO:0005515"
"tmx4"	"GO:0045454, GO:0016020, GO:0016021, GO:0005623"
"c1ql3"	"GO:0005515, GO:0005576, GO:0005581"
"phkg1"	"GO:0005978, GO:0005516, GO:0005524, GO:0004672, GO:0006468, GO:0004689, GO:0005964, GO:0000166, GO:0016301, GO:0016310, GO:0004674, GO:0004683"
"cdc16"	"GO:0005515"
"pter"	"GO:0016788, GO:0008270, GO:0009056, GO:0046872"
"nkain3"	"GO:0016020, GO:0016021, GO:0016020, GO:0016021"
"atp6v0d2"	"GO:0033179, GO:0015078, GO:0015991"
"eif6"	"GO:0043022, GO:0042256, GO:0005634, GO:0005737, GO:0005829, GO:0005730, GO:0042254, GO:0030687, GO:0043023, GO:0006412, GO:0003743, GO:0006413, GO:1902626, GO:0000054, GO:0042273"
"ank2"	"GO:0007165, GO:0005515, GO:0072659, GO:0016020, GO:0044325, GO:0043194"
"plcb1"	"GO:0004435, GO:0006629, GO:0051726, GO:0008081, GO:0035556, GO:0005737, GO:0007165, GO:0005634, GO:0005509, GO:0016042, GO:0007420, GO:0016787, GO:0007613, GO:0005516, GO:0016607, GO:0005515, GO:0048015, GO:0032959, GO:0051209"
"med14"	"GO:0016592, GO:0003712, GO:0006357, GO:0005634, GO:0070847, GO:0007420, GO:0014033, GO:0019827, GO:0021591, GO:0048514, GO:0048703"
"kctd5"	"GO:0051260, GO:0005515, GO:0005737, GO:0097602, GO:0043161, GO:0031463, GO:0051260, GO:0005515, GO:0005737, GO:0097602, GO:0043161, GO:0031463"
"cptp"	"GO:0120009, GO:0120013, GO:0005737, GO:0016020, GO:0005634, GO:0005886, GO:0005829, GO:0005794, GO:0005768, GO:0010008, GO:0006869, GO:0008289, GO:1902387, GO:1902388, GO:0035627, GO:0005548, GO:0005543, GO:0010507, GO:0050713, GO:1900226, GO:1902389, GO:0005640"
"upf3a"	"GO:0000184, GO:0003676, GO:0005737, GO:0005730, GO:0042162, GO:0045727"
"mcmdc2"	"GO:0006270, GO:0005524, GO:0003677"
"steap2"	"GO:0005768, GO:0016020, GO:0016021, GO:0005886, GO:0055114, GO:0008823, GO:0052851, GO:0015677, GO:0098706"
"rgs6"	"GO:0035556, GO:0005096, GO:0007186, GO:0043547"
"syne2.2"	"GO:0005635, GO:0034993, GO:0051015, GO:0016021, GO:0005515, GO:0090286, GO:0016020, GO:0005813, GO:0010457"
"postn"	"GO:0005515, GO:0005615, GO:0030198, GO:0031012, GO:0007155, GO:0050839"
"dvl1"	"GO:0016055, GO:0035556, GO:0005515, GO:0005829, GO:0005109, GO:0060070, GO:0090179"
"map4k4"	"GO:0005524, GO:0004672, GO:0006468, GO:0005737, GO:0004674, GO:0023014, GO:0031098, GO:0032147, GO:0048812, GO:0000165"
"cfap69"	""
"ccp110"	"GO:0032465, GO:0005814, GO:0007099, GO:0051298, GO:0032465, GO:0005814, GO:0007099, GO:0051298"
"sh3gl1"	"GO:0006897, GO:0005737, GO:0005515"
"pccb"	"GO:0016874"
"ggh"	"GO:0016787, GO:0008242, GO:0006508, GO:0034722, GO:0046900, GO:0005773"
"irak1bp1"	"GO:0007249, GO:0006955"
"nup93"	"GO:0005643, GO:0017056, GO:0016020, GO:0005634, GO:0015031, GO:0051028, GO:0006913, GO:0005643, GO:0017056, GO:0016020, GO:0005634, GO:0015031, GO:0051028, GO:0006913"
"sh3tc1"	"GO:0005515"
"sumf2"	"GO:0005783"
"ube2i"	"GO:0019789, GO:0016740, GO:0000166, GO:0005524, GO:0016925, GO:0001947, GO:0036306, GO:0060216"
"bsk146"	"GO:0005524, GO:0004674, GO:0004672, GO:0006468, GO:0016740, GO:0005737, GO:0000166, GO:0018105, GO:0018107"
"gtpbp10"	"GO:0005525, GO:0005634, GO:0000166, GO:0042254, GO:0005730"
"pskh2"	"GO:0005524, GO:0004672, GO:0006468, GO:0000166, GO:0004674"
"ulk4"	"GO:0005524, GO:0004672, GO:0006468"
"sept10"	"GO:0005525, GO:0000166, GO:0003924, GO:0032947, GO:0061640, GO:0005940, GO:0015630, GO:0031105"
"cxorf38"	""
"dhrs7c"	"GO:0016491, GO:0055114, GO:0005576, GO:0004745, GO:0010880, GO:0033017"
"klf9"	"GO:0003676, GO:0005634, GO:0006357, GO:0000981, GO:0042098, GO:0043249"
"ca2"	"GO:0004089, GO:0008270, GO:0046872"
"gde1"	"GO:0008889, GO:0006629, GO:0008081"
"cep63"	"GO:0007099, GO:0098535, GO:0005814"
"supt20h"	"GO:0003712, GO:0000124, GO:0006357, GO:0035948, GO:0003712, GO:0000124, GO:0006357, GO:0035948"
"smc5"	"GO:0030915, GO:0000724, GO:0006281, GO:0007062"
"baiap3"	""
"atp6ap2"	"GO:0038023, GO:0016021, GO:0016020, GO:0035622"
"ttpa"	"GO:0005770, GO:0008431, GO:0120013, GO:0007417, GO:0042360, GO:0043009, GO:0051180, GO:0120009, GO:0005770, GO:0008431, GO:0120013, GO:0042360, GO:0051180, GO:0120009"
"sept9"	"GO:0005525, GO:0000166, GO:0003924, GO:0032947, GO:0061640, GO:0005940, GO:0015630, GO:0031105"
"adam22"	"GO:0004222, GO:0008237, GO:0006508, GO:0004222, GO:0008237, GO:0006508, GO:0016020, GO:0016021, GO:0004222, GO:0008237, GO:0006508, GO:0016020, GO:0016021, GO:0004222, GO:0008237, GO:0006508, GO:0016020, GO:0016021"
"lypla1"	"GO:0016787, GO:0005737, GO:0052689, GO:0008474, GO:0002084"
"amotl2"	"GO:0031410, GO:0030334, GO:0001525, GO:0030036, GO:0035329, GO:0003365, GO:0005923"
"kdm8"	""
"mxra8"	"GO:0016020, GO:0016021, GO:0016020, GO:0016021"
"c1qb"	"GO:0005515, GO:0006958"
"syne2"	"GO:0005635, GO:0034993, GO:0051015, GO:0005515, GO:0090286, GO:0005737, GO:0003779, GO:0051017, GO:0005884, GO:0051639, GO:0032432"
"sipa1l1"	"GO:0031532, GO:0043087, GO:0051056, GO:0005096, GO:0005515, GO:0048814, GO:0043547"
"mat2b"	"GO:0006730, GO:0006556"
"ythdf3"	"GO:0003723"
"ryk"	"GO:0005524, GO:0004672, GO:0006468, GO:0016020, GO:0016021, GO:0005887, GO:0017147, GO:0007169, GO:0016055, GO:0018108, GO:0043235, GO:0007399, GO:0007409, GO:0007223, GO:0042074, GO:0051209, GO:0060026, GO:0060028, GO:0060030, GO:0005886, GO:0005524, GO:0004672, GO:0006468, GO:0016020, GO:0016021, GO:0005887, GO:0017147, GO:0007169, GO:0016055, GO:0018108, GO:0043235, GO:0007399, GO:0007409"
"mrpl15"	"GO:0015934, GO:0006412, GO:0003735, GO:0005762"
"trak1"	"GO:0005102, GO:0005737, GO:0005739, GO:0030425, GO:0031410, GO:0008333, GO:1904115, GO:0008104, GO:0022008, GO:0017022, GO:0050811, GO:0006605, GO:0008089, GO:0047496, GO:0048311, GO:0098957, GO:0032839"
"med28"	""
"bcor"	"GO:0005515, GO:0021915, GO:0043010, GO:0060042, GO:1902254, GO:0005515"
"cd302"	"GO:0016020, GO:0016021, GO:0004888"
"dph3"	"GO:0046872, GO:0005634, GO:0005829, GO:0002098, GO:0017183"
"bcap29"	"GO:0005783, GO:0006886, GO:0016021, GO:0016020, GO:0005887, GO:0005789, GO:0006888, GO:0070973, GO:0005783, GO:0006886, GO:0016021, GO:0016020, GO:0005887, GO:0005789, GO:0006888, GO:0070973"
"psph"	"GO:0006564, GO:0004647, GO:0005737, GO:0000287, GO:0016311, GO:0016791"
"camk2d"	"GO:0005516, GO:0005524, GO:0004674, GO:0004672, GO:0006468, GO:0004683, GO:0000166, GO:0016301, GO:0016310, GO:0005737, GO:0043005, GO:0005516, GO:0005524, GO:0004674, GO:0004672, GO:0006468, GO:0004683, GO:0005737, GO:0043005"
"cfap97d1"	""
"chaf1a"	"GO:0005634, GO:0006334, GO:0033186"
"mamdc2"	"GO:0016020, GO:0016020"
"msl2"	"GO:0061630, GO:0072487, GO:0016567, GO:0043984"
"brat1"	"GO:0008283, GO:0006974, GO:0005515"
"ca3"	"GO:0004089, GO:0005737, GO:0008270, GO:0046872, GO:0004089, GO:0008270, GO:0046872"
"ppp2r3a"	"GO:0005509, GO:0043666, GO:0006470, GO:0019888, GO:0000159, GO:0001754, GO:0007525, GO:0036342, GO:0060828, GO:0061053, GO:0090244, GO:0090249, GO:0090263, GO:0005509, GO:0043666, GO:0006470, GO:0019888, GO:0000159"
"march7"	"GO:0008270, GO:0046872, GO:0005515"
"lap3"	"GO:0008235, GO:0004177, GO:0006508, GO:0005737, GO:0005622, GO:0030145, GO:0019538"
"sox17b.1"	"GO:0003677, GO:0005634"
"gpr78"	"GO:0016021, GO:0007186, GO:0004930, GO:0016020, GO:0007189"
"rasa3"	"GO:0046580, GO:0043087, GO:0035556, GO:0005096, GO:0007165, GO:0043547, GO:0002574, GO:0043363, GO:0072554"
"slc26a4.3"	"GO:0008271, GO:0008272, GO:0015116, GO:0055085, GO:0016020, GO:0016021, GO:0005887, GO:0015106, GO:0015108, GO:0015301, GO:0019531, GO:0015701, GO:0019532, GO:0098656, GO:1902358, GO:1902476"
"vwde"	"GO:0005509, GO:0005102, GO:0048856, GO:0005576, GO:0009986"
"ccnl2"	"GO:0005634"
"tnrc6c"	"GO:0035278, GO:0003676, GO:0005515, GO:0000932, GO:0005654, GO:0035195, GO:0060213, GO:0035068"
"sox17b.2"	"GO:0003677, GO:0005634, GO:0007275, GO:0016055, GO:0000122, GO:0045944, GO:0044798, GO:0000981, GO:0030154, GO:0006355, GO:0001525, GO:0001946, GO:0001570, GO:0007369, GO:0003677, GO:0005634"
"exosc8"	"GO:0006401, GO:0000178, GO:0006396, GO:0000467, GO:0017091, GO:0016075, GO:0034427, GO:0034473, GO:0034475, GO:0034476, GO:0043928, GO:0071028, GO:0071035, GO:0071038, GO:0071042, GO:0000176, GO:0000177, GO:0006401, GO:0000178, GO:0006396, GO:0000467, GO:0017091, GO:0016075, GO:0034427, GO:0034473, GO:0034475, GO:0034476, GO:0043928, GO:0071028, GO:0071035, GO:0071038, GO:0071042, GO:0000176, GO:0000177, GO:0007409, GO:0007420, GO:0021693, GO:0042552"
"tgfbi"	"GO:0008283, GO:0005518, GO:0005178, GO:0007155, GO:0005515, GO:0050840, GO:0016020, GO:0016021, GO:0005615, GO:0030198, GO:0031012, GO:0050839, GO:0048747, GO:0071466"
"ubxn6"	"GO:0005515"
"rchy1"	"GO:0008270, GO:0008270"
"cpz"	"GO:0004181, GO:0006508, GO:0008270, GO:0005515, GO:0005615, GO:0016485, GO:0006518, GO:0004181, GO:0006508, GO:0008270, GO:0005615, GO:0016485, GO:0006518"
"iqce"	"GO:0005515"
"cct6a"	"GO:0006457, GO:0051082, GO:0005524, GO:0005737, GO:0000166, GO:0005832"
"creg2"	"GO:0048037"
"baz2b"	"GO:0005634, GO:0003677, GO:0005515, GO:0046872, GO:0005634, GO:0003677"
"rnf149"	"GO:0016020, GO:0016021, GO:0006511, GO:0061630, GO:0016567"
"nkd1"	"GO:0030178, GO:0005509, GO:0005737, GO:0001754, GO:0007525, GO:0060828, GO:0090244, GO:0090249, GO:0090090, GO:0030178, GO:0005509, GO:0005737"
"tspan7"	"GO:0016021, GO:0016020, GO:0005887, GO:0007166, GO:0016021, GO:0016020, GO:0005887, GO:0007166"
"ca1"	"GO:0004089, GO:0008270, GO:0046872, GO:0004089, GO:0008270, GO:0046872"
"tmem106b"	"GO:0016020, GO:0016021"
"sgpp1"	"GO:0016020, GO:0016021"
"sec14l5"	""
"hmx1"	"GO:0043565, GO:0006355, GO:0003677, GO:0005634, GO:0043010, GO:0046549, GO:0060042"
"pcnx1"	"GO:0016021, GO:0016020"
"hipk3"	"GO:0005524, GO:0004672, GO:0006468, GO:0005524, GO:0004672, GO:0006468, GO:0003677, GO:0016301, GO:0016310"
"zfp1"	"GO:0006355, GO:0003676, GO:0005622, GO:0046872, GO:0005634, GO:0003700, GO:0043565, GO:0045944, GO:0045893, GO:0045892, GO:0005654"
"ttyh3"	"GO:0016020, GO:0016021, GO:0006811, GO:0005886, GO:0034220, GO:1902476, GO:0005254, GO:0006821, GO:0034707, GO:0005229, GO:0072320"
"xkr4"	"GO:0016021, GO:0016020, GO:0005886, GO:0043652, GO:0070782, GO:1902742"
"ambn"	"GO:0030345, GO:0042475, GO:0008083, GO:0010469, GO:0007155, GO:0008283"
"dnajc5g"	", "
"slco2a1"	"GO:0005215, GO:0055085, GO:0016020, GO:0005515, GO:0016021, GO:0005887, GO:0006811, GO:0005886, GO:0015132, GO:0015347, GO:0015732, GO:0043252"
"clrn2"	"GO:0016020, GO:0016021"
"pskh1"	"GO:0005524, GO:0004672, GO:0006468, GO:0000166, GO:0016301, GO:0016310, GO:0004674"
"ptar1"	"GO:0008318, GO:0018342, GO:0005737"
"qdpr"	"GO:0016491, GO:0005737, GO:0055114, GO:0006559, GO:0006729, GO:0070402, GO:0004155, GO:0070404"
"tmem68"	"GO:0016746, GO:0016020, GO:0016021, GO:0016740"
"cnot11"	"GO:0030014"
"tsr3"	"GO:0006364, GO:0042254, GO:0030490, GO:0006364, GO:0042254, GO:0030490"
"hdgfl2"	", "
"dus2"	"GO:0050660, GO:0008033, GO:0055114, GO:0003824, GO:0017150, GO:0003723, GO:0002943"
"apba1"	"GO:0065003, GO:0001540, GO:0008021, GO:0007268, GO:0005515, GO:0005886, GO:0005737, GO:0045202, GO:0043197"
"dbp"	"GO:0006357, GO:0003700, GO:0006355, GO:0005634, GO:0000977, GO:0007623"
"c11orf58"	""
"tbc1d8b"	"GO:0005509, GO:0017137, GO:0006886, GO:0005623, GO:0005096, GO:0090630, GO:0005509, GO:0017137, GO:0006886, GO:0005623, GO:0005096, GO:0090630"
"mrpl20"	"GO:0019843, GO:0005840, GO:0006412, GO:0003735, GO:0005622, GO:0000027, GO:0005761"
"thsd7a"	"GO:0016020, GO:0016021, GO:0005886, GO:0031532, GO:0016020, GO:0016021, GO:0005886, GO:0031532"
"nucb2"	"GO:0005509, GO:0032099, GO:0005509, GO:0032099"
"otc"	"GO:0006520, GO:0016597, GO:0016743, GO:0016740, GO:0005739, GO:0042450, GO:0004585, GO:0019240, GO:0006520, GO:0016597, GO:0016743, GO:0016740, GO:0005739, GO:0042450, GO:0004585, GO:0019240"
"sphk2"	"GO:0003951, GO:0016301, GO:0016310"
"zc3h3"	"GO:0046872, GO:0005623, GO:0016973, GO:0005623, GO:0016973, GO:0046872, GO:0005623, GO:0016973"
"enam"	"GO:0031012, GO:0097186, GO:0030345, GO:0036305, GO:0070175"
"prickle2"	"GO:0008270, GO:0046872, GO:0008270, GO:0046872"
"myh13"	"GO:0051015, GO:0016459, GO:0003774, GO:0005524, GO:0005515, GO:0000166, GO:0003779, GO:0051015, GO:0016459, GO:0003774, GO:0005524, GO:0005515, GO:0000166, GO:0003779"
"tgs1"	"GO:0001510, GO:0008168, GO:0009452, GO:0005634, GO:0071164, GO:0009611, GO:0030593, GO:0036261, GO:0090022"
"alg5"	"GO:0005789, GO:0006487, GO:0016740, GO:0005789, GO:0006487"
"ldb2"	"GO:0003712, GO:0006357, GO:0005634, GO:0030274, GO:0000122, GO:0045944, GO:0045892, GO:0005667, GO:0007275, GO:0001102"
"gnptg"	", "
"fam189a2"	"GO:0016021, GO:0016020"
"fnip1"	""
"uso1"	"GO:0000139, GO:0008565, GO:0005737, GO:0006886, GO:0016020, GO:0005515, GO:0048280, GO:0005783, GO:0006888, GO:0012507, GO:0061025, GO:0048211, GO:0005795, GO:0045056"
"map3k9"	"GO:0005524, GO:0004672, GO:0006468, GO:0005515, GO:0004709, GO:0016740, GO:0000166, GO:0016301, GO:0016310, GO:0004674, GO:0000165, GO:0007257, GO:0000186, GO:0004706, GO:0007256"
"mgat5b"	"GO:0006487, GO:0030144, GO:0016020, GO:0016021, GO:0005794"
"rpl18"	"GO:0005840, GO:0006412, GO:0003735, GO:0005622, GO:0022625"
"znf568"	"GO:0003676, GO:0005634, GO:0003677, GO:0003676, GO:0005634, GO:0003677"
"hectd2"	"GO:0004842, GO:0016740, GO:0016567, GO:0004842, GO:0016740, GO:0016567"
"mgc145518"	"GO:0003676, GO:0003677"
"lfng"	"GO:0030173, GO:0016757, GO:0016020, GO:0033829, GO:0007389, GO:0046872, GO:0016740, GO:0005794, GO:0000139, GO:0008375, GO:0008593, GO:0031101, GO:0036066, GO:0045665, GO:0055016"
"nipsnap2"	"GO:0005739, GO:0016020, GO:0016021, GO:0005739"
"mafa"	"GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0000978, GO:0043565"
"tjp2"	"GO:0005923, GO:0005515, GO:0005923, GO:0005515"
"lyn"	"GO:0005524, GO:0004672, GO:0006468, GO:0004713, GO:0005515, GO:0005102, GO:0016740, GO:0000166, GO:0004715, GO:0016301, GO:0016310, GO:0007169, GO:0006974, GO:0031175, GO:0030154, GO:0031234, GO:0043304, GO:0038083, GO:0030889, GO:0002431, GO:0002513, GO:0002576, GO:0002902, GO:0050855, GO:0070667, GO:0090330, GO:0097028, GO:2000670, GO:0005524, GO:0004672, GO:0006468, GO:0004713, GO:0005515, GO:0005102, GO:0016740, GO:0000166, GO:0004715, GO:0016301, GO:0016310, GO:0007169, GO:0006974, GO:0031175, GO:0030154, GO:0031234, GO:0043304, GO:0038083, GO:0030889, GO:0002431, GO:0002513, GO:0002576, GO:0002902, GO:0050855, GO:0070667, GO:0090330, GO:0097028, GO:2000670"
"phf14"	"GO:0046872"
"wdsub1"	"GO:0016567, GO:0004842, GO:0005515"
"ttc9"	"GO:0005515"
"xb-gene-5822524"	"GO:0003676, GO:0005634, GO:0003677"
"tapt1"	"GO:0016020, GO:0016021, GO:0005783, GO:0030176, GO:0036064, GO:0035437, GO:0045724"
"plin3"	""
"rmdn3"	"GO:0005515, GO:0016020, GO:0016021, GO:0005515, GO:0016020, GO:0016021"
"med6"	"GO:0016592, GO:0003712, GO:0006357, GO:0005634, GO:0051123, GO:0070847"
"tfpt"	"GO:0006915, GO:0003677, GO:0031011"
"ddx28"	"GO:0005524, GO:0003676"
"dpep2"	"GO:0016805, GO:0008239, GO:0008235, GO:0006508, GO:0016020, GO:0016787, GO:0046872, GO:0031225, GO:0008233, GO:0008237"
"ptges3"	"GO:0005634, GO:0005737, GO:0005829, GO:0051879, GO:0051087, GO:0006457, GO:0007004, GO:0050220, GO:0001516, GO:0051131, GO:1905323, GO:0005634, GO:0005737, GO:0005829, GO:0051879, GO:0051087, GO:0006457, GO:0007004, GO:0050220, GO:0001516, GO:0051131, GO:1905323"
"mfsd11"	"GO:0016020, GO:0016021, GO:0016020, GO:0016021"
"tcp11l1"	""
"psmd6"	"GO:0030234, GO:0005515, GO:0043161, GO:0000502, GO:0050790, GO:0070306, GO:0005838"
"cldn12"	"GO:0016020, GO:0016021"
"acsl6"	"GO:0003824, GO:0003824, GO:0016020, GO:0016021"
"tanc1"	"GO:0005515"
"smad9"	"GO:0007179, GO:0005667, GO:0003700, GO:0006355, GO:0005622, GO:0005515, GO:0003677, GO:0005634, GO:0005737, GO:0007179, GO:0005667, GO:0003700, GO:0006355, GO:0005622, GO:0005515, GO:0003677, GO:0005634, GO:0005737, GO:0007179, GO:0005667, GO:0003700, GO:0006355, GO:0005622, GO:0005515, GO:0003677, GO:0005634, GO:0005737"
"rpgr"	", , "
"prpf31"	"GO:0046540, GO:0000398, GO:0000244, GO:0005634, GO:0003723, GO:0006397, GO:0008380, GO:0005681, GO:0005687, GO:0016607, GO:0015030, GO:0071005, GO:0071339, GO:0030622, GO:0060041, GO:0005690"
"prom1"	"GO:0016021, GO:0016020, GO:0005887, GO:0009986, GO:0016324, GO:0015485, GO:0005929, GO:0005902, GO:0071914, GO:0045494, GO:0060219"
"abhd1"	"GO:0016020, GO:0016021, GO:0016298, GO:0034338, GO:0047372, GO:0044255, GO:0051792, GO:0051793, GO:0016020, GO:0016021, GO:0016298, GO:0034338, GO:0047372, GO:0044255, GO:0051792, GO:0051793"
"rpl23"	"GO:0005840, GO:0006412, GO:0003735, GO:0022625, GO:0070180"
"agap3"	"GO:0005096, GO:0005515, GO:0046872, GO:0005634, GO:0043547"
"mrps17"	"GO:0005840, GO:0006412, GO:0003735, GO:0005622, GO:0005763"
"tf"	"GO:0005576, GO:0005525, GO:0016020, GO:0016021, GO:0005615, GO:0005576"
"c17orf98"	""
"gpr146"	""
"cgref1"	"GO:0005509"
"rbm34"	"GO:0003676, GO:0003723, GO:0003676, GO:0003723"
"gchfr"	"GO:0009890, GO:0016020, GO:0005634, GO:0005737, GO:0005829, GO:0031965, GO:0044549, GO:0043105"
"khk"	"GO:0006000, GO:0004454, GO:0005737, GO:0010043, GO:0046835, GO:0009750, GO:0019200, GO:0009744, GO:0009749, GO:0032868, GO:0070873"
"g3bp2"	"GO:0003723, GO:0003676, GO:0034063, GO:0005829, GO:0003729, GO:1990904"
"pik3c2a"	"GO:0046854, GO:0048015, GO:0016301, GO:0035091, GO:0035004, GO:0016740, GO:0016310, GO:0005886, GO:0005737, GO:0016020, GO:0016477, GO:0016303, GO:0035005, GO:0014065, GO:0036092, GO:0005942, GO:0001525"
"synj2bp"	"GO:0005515, GO:0016020, GO:0016021, GO:0005515, GO:0016020, GO:0016021"
"gas6"	"GO:0005576, GO:0005509"
"dnajc17"	", "
"srpx"	""
"cnot3"	"GO:0006355, GO:0005634, GO:0030015, GO:0000932, GO:0017148, GO:2000036, GO:0006355, GO:0005634, GO:0030015, GO:0000932, GO:0017148, GO:2000036"
"arsj"	"GO:0008484, GO:0003824"
"pcgf5"	"GO:0005634, GO:0003700, GO:0045944, GO:0000977, GO:0036353, GO:0035102, GO:0031519, GO:0060819"
"atxn7"	"GO:0021702, GO:0021707, GO:0043009, GO:0046530, "
"eif3b"	"GO:0031369, GO:0005852, GO:0006413, GO:0003743, GO:0003723, GO:0003676, GO:0005515, GO:0005737, GO:0006412, GO:0001732, GO:0002183, GO:0016282, GO:0033290, GO:0031369, GO:0005852, GO:0006413, GO:0003743, GO:0003723, GO:0003676, GO:0005515, GO:0005737, GO:0006412, GO:0001732, GO:0002183, GO:0016282, GO:0033290"
"emilin1"	"GO:0005515, GO:0005576, GO:0031012, GO:0005581, GO:0010811, GO:0030023, GO:0005515, GO:0005576, GO:0031012, GO:0005581, GO:0010811, GO:0030023"
"dapl1"	"GO:0034198, GO:0097190, GO:0010507, GO:0070513"
"srsf2"	"GO:0043484, GO:0003723, GO:0003676, GO:0005634, GO:0005737, GO:0016607, GO:0000381, GO:0045292"
"depdc7"	"GO:0035556"
"ugt8"	"GO:0016758, GO:0016020, GO:0016021, GO:0016740, GO:0043231, GO:0008194"
"rpl31"	"GO:0005840, GO:0006412, GO:0003735, GO:0005622, GO:0022625, GO:0002181"
