"Gene_name"	"GO_terms"
"admp"	"GO:0008083, GO:0005576, GO:0005615, GO:0043408, GO:0010469, GO:0005125, GO:0005160, GO:0010862, GO:0042981, GO:0048468, GO:0060395"
"rab21"	"GO:0005525, GO:0003924, GO:0005769, GO:0006886, GO:0032482, GO:0005525, GO:0003924, GO:0005769, GO:0006886, GO:0032482"
"idi1"	"GO:0004452, GO:0008299, GO:0016787, GO:0009240"
"rrbp1"	"GO:0030176, GO:0015031, GO:0016020, GO:0016021, GO:0030176, GO:0015031"
"anp32e"	"GO:0005515, GO:0005634, GO:0042393, GO:0019212, GO:0043086, GO:0043486, GO:0005515, GO:0005634, GO:0042393, GO:0019212, GO:0043086, GO:0043486"
"pdzrn3"	"GO:0016567, GO:0004842, GO:0005515, GO:0046872, GO:0061630, GO:0031594, GO:0007528"
"tbc1d20.1"	"GO:0016020, GO:0016021, GO:0017137, GO:0043547, GO:0005789, GO:0006888, GO:0005096, GO:0016020, GO:0016021, GO:0017137, GO:0043547, GO:0005789, GO:0006888, GO:0005096"
"cntn5"	"GO:0005515, GO:0005886, GO:0030424, GO:0007156, GO:0043025, GO:0050808, GO:0008046, GO:0007411"
"gtpbp4"	"GO:0005730, GO:0005525, GO:0005634, GO:0042254, GO:0005730"
"chrng"	"GO:0045211, GO:0022848, GO:0034220, GO:0005216, GO:0004888, GO:0006811, GO:0005230, GO:0016021, GO:0016020, GO:0005887, GO:0005886, GO:0030054, GO:0045202, GO:0043005, GO:0007165, GO:0007268, GO:0042391, GO:0050877, GO:0060079, GO:0007274, GO:0015464, GO:0042166, GO:0007271, GO:0060078, GO:0005892, GO:0035094"
"khdrbs1"	"GO:0003723, GO:0003676"
"pnhd"	""
"cox19"	"GO:0005758, GO:0033617"
"mgam"	"GO:0005975, GO:0004553, GO:0030246, GO:0003824"
"ostm1"	"GO:0016020, GO:0016021"
"adap1"	"GO:1902936, GO:0043547, GO:0005096, GO:0046872, GO:0005886"
"cldn18"	"GO:0005923, GO:0005198, GO:0016021, GO:0016020, GO:0005886, GO:0030054"
"nr2e1"	"GO:0003707, GO:0043565, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0008270, GO:0046872, GO:0043401"
"tmem19"	"GO:0016021, GO:0016020, GO:0016021, GO:0016020"
